id,level,sp,type,range,target,power,duration,mp,success,weapon,class,requireskills,levelskills,stat1,value1,value2,stat2,value1,value2,stat3,value1,value2,char_level,aoe,aoeradius
234,4,1,8,0,0,0,300,80,100,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,18,0,12,19,0,4,0,0,0,0,0,0
235,5,1,8,0,0,0,300,100,100,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,18,0,15,19,0,5,0,0,0,0,0,0
236,1,1,8,0,5,0,20,15,100,0|0|0|0|0,41|0|0|0|0,231|0|0,1|0|0,19,10,0,0,0,0,0,0,0,0,1,1500
237,2,1,8,0,5,0,20,21,100,0|0|0|0|0,41|0|0|0|0,231|0|0,1|0|0,19,20,0,0,0,0,0,0,0,0,1,1500
238,3,1,8,0,5,0,20,27,100,0|0|0|0|0,41|0|0|0|0,231|0|0,1|0|0,19,30,0,0,0,0,0,0,0,0,1,1500
239,4,1,8,0,5,0,20,33,100,0|0|0|0|0,41|0|0|0|0,231|0|0,1|0|0,19,40,0,0,0,0,0,0,0,0,1,1500
240,5,1,8,0,5,0,20,39,100,0|0|0|0|0,41|0|0|0|0,231|0|0,1|0|0,19,50,0,0,0,0,0,0,0,0,1,1500
241,1,1,9,700,3,0,300,12,100,0|0|0|0|0,41|0|0|0|0,221|0|0,1|0|0,16,100,0,16,0,2,0,0,0,0,0,0
242,2,1,9,700,3,0,300,20,100,0|0|0|0|0,41|0|0|0|0,221|0|0,2|0|0,16,115,0,16,0,4,0,0,0,0,0,0
243,3,1,9,700,3,0,300,28,100,0|0|0|0|0,41|0|0|0|0,221|0|0,3|0|0,16,130,0,16,0,6,0,0,0,0,0,0
244,4,1,9,700,3,0,300,36,100,0|0|0|0|0,41|0|0|0|0,221|0|0,4|0|0,16,145,0,16,0,8,0,0,0,0,0,0
245,5,1,9,700,3,0,300,44,100,0|0|0|0|0,41|0|0|0|0,221|0|0,5|0|0,16,160,0,16,0,10,0,0,0,0,0,0
246,6,1,9,700,3,0,300,52,100,0|0|0|0|0,41|0|0|0|0,221|0|0,6|0|0,16,175,0,16,0,12,0,0,0,0,0,0
247,7,1,9,700,3,0,300,60,100,0|0|0|0|0,41|0|0|0|0,221|0|0,7|0|0,16,190,0,16,0,14,0,0,0,0,0,0
248,8,1,9,700,3,0,300,68,100,0|0|0|0|0,41|0|0|0|0,221|0|0,8|0|0,16,205,0,16,0,16,0,0,0,0,0,0
249,9,1,9,700,3,0,300,76,100,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,16,220,0,16,0,18,0,0,0,0,0,0
251,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,6,0,43,6,0,0,0,0,0,0,0
252,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,8,0,43,8,0,0,0,0,0,0,0
253,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,10,0,43,10,0,0,0,0,0,0,0
254,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,12,0,43,12,0,0,0,0,0,0,0
255,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,14,0,43,14,0,0,0,0,0,0,0
256,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,16,0,43,16,0,0,0,0,0,0,0
257,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,18,0,43,18,0,0,0,0,0,0,0
258,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,20,0,43,20,0,0,0,0,0,0,0
259,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,0|0|0,0|0|0,42,22,0,43,22,0,0,0,0,0,0,0
261,1,1,3,0,5,40,0,10,150,0|0|0|0|0,41|0|0|0|0,251|0|0,1|0|0,0,0,0,0,0,0,0,0,0,0,0,0
262,2,1,3,0,5,60,0,12,150,0|0|0|0|0,41|0|0|0|0,251|0|0,2|0|0,0,0,0,0,0,0,0,0,0,0,0,0
263,3,1,3,0,5,80,0,14,150,0|0|0|0|0,41|0|0|0|0,251|0|0,3|0|0,0,0,0,0,0,0,0,0,0,0,0,0
264,4,1,3,0,5,100,0,16,150,0|0|0|0|0,41|0|0|0|0,251|0|0,4|0|0,0,0,0,0,0,0,0,0,0,0,0,0
265,5,1,3,0,5,120,0,18,150,0|0|0|0|0,41|0|0|0|0,251|0|0,5|0|0,0,0,0,0,0,0,0,0,0,0,0,0
266,6,1,3,0,5,140,0,20,150,0|0|0|0|0,41|0|0|0|0,251|0|0,6|0|0,0,0,0,0,0,0,0,0,0,0,0,0
267,7,1,3,0,5,160,0,22,150,0|0|0|0|0,41|0|0|0|0,251|0|0,7|0|0,0,0,0,0,0,0,0,0,0,0,0,0
268,8,1,3,0,5,180,0,24,150,0|0|0|0|0,41|0|0|0|0,251|0|0,8|0|0,0,0,0,0,0,0,0,0,0,0,0,0
269,9,1,3,0,5,200,0,26,150,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,0,0,0,0,0,0,0,0,0,0,0,0
271,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,22,0,99,0,2,0,0,0,0,0,0
272,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,24,0,99,0,3,0,0,0,0,0,0
273,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,26,0,99,0,4,0,0,0,0,0,0
274,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,28,0,99,0,5,0,0,0,0,0,0
275,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,29,0,99,0,6,0,0,0,0,0,0
276,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,31,0,99,0,7,0,0,0,0,0,0
277,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,33,0,99,0,8,0,0,0,0,0,0
278,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,35,0,99,0,9,0,0,0,0,0,0
279,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,42,37,0,99,0,10,0,0,0,0,0,0
281,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,2,0,102,0,2,0,0,0,0,0,0
282,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,3,0,102,0,3,0,0,0,0,0,0
283,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,4,0,102,0,4,0,0,0,0,0,0
284,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,5,0,102,0,5,0,0,0,0,0,0
285,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,6,0,102,0,6,0,0,0,0,0,0
286,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,7,0,102,0,7,0,0,0,0,0,0
287,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,8,0,102,0,8,0,0,0,0,0,0
288,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,9,0,102,0,9,0,0,0,0,0,0
289,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,221|0|0,9|0|0,102,10,0,102,0,10,0,0,0,0,0,0
291,1,1,3,0,5,275,10,28,125,211|212|0|0|0,41|0|0|0|0,271|261|0,1|9|0,23,0,15,24,0,10,0,0,0,0,0,0
292,2,1,3,0,5,300,10,30,125,211|212|0|0|0,41|0|0|0|0,271|261|0,2|9|0,23,0,15,24,0,10,0,0,0,0,0,0
293,3,1,3,0,5,325,10,32,125,211|212|0|0|0,41|0|0|0|0,271|261|0,3|9|0,23,0,15,24,0,10,0,0,0,0,0,0
294,4,1,3,0,5,350,10,34,125,211|212|0|0|0,41|0|0|0|0,271|261|0,4|9|0,23,0,15,24,0,10,0,0,0,0,0,0
295,5,1,3,0,5,375,10,36,125,211|212|0|0|0,41|0|0|0|0,271|261|0,5|9|0,23,0,15,24,0,10,0,0,0,0,0,0
296,6,1,3,0,5,400,10,38,125,211|212|0|0|0,41|0|0|0|0,271|261|0,6|9|0,23,0,15,24,0,10,0,0,0,0,0,0
297,7,1,3,0,5,425,10,40,125,211|212|0|0|0,41|0|0|0|0,271|261|0,7|9|0,23,0,15,24,0,10,0,0,0,0,0,0
298,8,1,3,0,5,450,10,42,125,211|212|0|0|0,41|0|0|0|0,271|261|0,8|9|0,23,0,15,24,0,10,0,0,0,0,0,0
299,9,1,3,0,5,475,10,44,125,211|212|0|0|0,41|0|0|0|0,271|261|0,9|9|0,23,0,15,24,0,10,0,0,0,0,0,0
301,1,1,9,700,3,0,300,38,100,261|0|0|0|0,41|0|0|0|0,281|0|0,1|0|0,19,10,0,0,0,0,0,0,0,0,0,0
302,2,1,9,700,3,0,300,45,100,261|0|0|0|0,41|0|0|0|0,281|0|0,1|0|0,19,20,0,0,0,0,0,0,0,0,0,0
303,3,1,9,700,3,0,300,52,100,261|0|0|0|0,41|0|0|0|0,281|0|0,1|0|0,19,30,0,0,0,0,0,0,0,0,0,0
304,4,1,9,700,3,0,300,59,100,261|0|0|0|0,41|0|0|0|0,281|0|0,1|0|0,19,40,0,0,0,0,0,0,0,0,0,0
305,5,1,9,700,3,0,300,66,100,261|0|0|0|0,41|0|0|0|0,281|0|0,1|0|0,19,50,0,0,0,0,0,0,0,0,0,0
306,1,1,3,0,5,300,3,43,120,261|0|0|0|0,41|0|0|0|0,281|0|0,9|0|0,0,0,0,0,0,0,0,0,0,0,0,0
307,2,1,3,0,5,350,3,49,120,261|0|0|0|0,41|0|0|0|0,281|0|0,9|0|0,0,0,0,0,0,0,0,0,0,0,0,0
308,3,1,3,0,5,400,3,55,120,261|0|0|0|0,41|0|0|0|0,281|0|0,9|0|0,0,0,0,0,0,0,0,0,0,0,0,0
309,4,1,3,0,5,450,3,61,120,261|0|0|0|0,41|0|0|0|0,281|0|0,9|0|0,0,0,0,0,0,0,0,0,0,0,0,0
310,5,1,3,0,5,500,3,67,120,261|0|0|0|0,41|0|0|0|0,281|0|0,9|0|0,0,0,0,0,0,0,0,0,0,0,0,0
311,1,1,6,700,5,500,2,70,150,211|212|221|222|223,41|0|0|0|0,261|501|0,9|1|0,0,0,0,0,0,0,0,0,0,50,0,0
312,2,1,6,700,5,575,2,82,150,211|212|221|222|223,41|0|0|0|0,261|501|0,9|1|0,0,0,0,0,0,0,0,0,0,0,0,0
313,3,1,6,700,5,650,2,94,150,211|212|221|222|223,41|0|0|0|0,261|501|0,9|1|0,0,0,0,0,0,0,0,0,0,0,0,0
314,4,1,6,700,5,725,2,106,150,211|212|221|222|223,41|0|0|0|0,261|501|0,9|1|0,0,0,0,0,0,0,0,0,0,0,0,0
316,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,22,0,0,0,0,0,0,0,0,0,0
317,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,24,0,0,0,0,0,0,0,0,0,0
318,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,26,0,0,0,0,0,0,0,0,0,0
319,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,28,0,0,0,0,0,0,0,0,0,0
320,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,30,0,0,0,0,0,0,0,0,0,0
321,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,32,0,0,0,0,0,0,0,0,0,0
322,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,34,0,0,0,0,0,0,0,0,0,0
323,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,36,0,0,0,0,0,0,0,0,0,0
324,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,251|0|0,9|0|0,43,38,0,0,0,0,0,0,0,0,0,0
326,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,1|0|0,106,11,0,99,2,0,0,0,0,0,0,0
327,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,2|0|0,106,12,0,99,3,0,0,0,0,0,0,0
328,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,3|0|0,106,13,0,99,4,0,0,0,0,0,0,0
329,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,4|0|0,106,14,0,99,5,0,0,0,0,0,0,0
330,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,5|0|0,106,15,0,99,6,0,0,0,0,0,0,0
331,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,6|0|0,106,16,0,99,7,0,0,0,0,0,0,0
332,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,7|0|0,106,17,0,99,8,0,0,0,0,0,0,0
333,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,8|0|0,106,18,0,99,9,0,0,0,0,0,0,0
334,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,9|0|0,106,19,0,99,10,0,0,0,0,0,0,0
336,1,1,3,0,5,275,8,30,150,221|0|0|0|0,41|0|0|0|0,326|0|0,1|0|0,20,3,0,0,0,0,0,0,0,0,0,0
337,2,1,3,0,5,300,8,33,150,221|0|0|0|0,41|0|0|0|0,326|0|0,2|0|0,20,7,0,0,0,0,0,0,0,0,0,0
338,3,1,3,0,5,325,8,36,150,221|0|0|0|0,41|0|0|0|0,326|0|0,3|0|0,20,11,0,0,0,0,0,0,0,0,0,0
339,4,1,3,0,5,350,8,39,150,221|0|0|0|0,41|0|0|0|0,326|0|0,4|0|0,20,15,0,0,0,0,0,0,0,0,0,0
340,5,1,3,0,5,375,8,42,150,221|0|0|0|0,41|0|0|0|0,326|0|0,5|0|0,20,19,0,0,0,0,0,0,0,0,0,0
341,6,1,3,0,5,400,8,45,150,221|0|0|0|0,41|0|0|0|0,326|0|0,6|0|0,20,23,0,0,0,0,0,0,0,0,0,0
342,7,1,3,0,5,425,8,48,150,221|0|0|0|0,41|0|0|0|0,326|0|0,7|0|0,20,27,0,0,0,0,0,0,0,0,0,0
343,8,1,3,0,5,450,8,51,150,221|0|0|0|0,41|0|0|0|0,326|0|0,8|0|0,20,31,0,0,0,0,0,0,0,0,0,0
344,9,1,3,0,5,475,8,54,150,221|0|0|0|0,41|0|0|0|0,326|0|0,9|0|0,20,35,0,0,0,0,0,0,0,0,0,0
346,1,1,8,0,5,0,20,23,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,22,15,0,0,0,0,0,0,0,0,1,800
347,2,1,8,0,5,0,20,29,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,22,30,0,0,0,0,0,0,0,0,1,800
348,3,1,8,0,5,0,20,35,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,22,45,0,0,0,0,0,0,0,0,1,800
349,4,1,8,0,5,0,20,41,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,22,60,0,0,0,0,0,0,0,0,1,800
351,1,1,3,0,5,600,12,80,120,221|0|0|0|0,41|0|0|0|0,336|0|0,5|0|0,20,0,5,22,0,5,0,0,0,0,0,0
352,2,1,3,0,5,627,12,103,120,221|0|0|0|0,41|0|0|0|0,336|0|0,5|0|0,20,0,10,22,0,10,0,0,0,0,0,0
353,3,1,3,0,5,654,12,126,120,221|0|0|0|0,41|0|0|0|0,336|0|0,5|0|0,20,0,15,22,0,15,0,0,0,0,0,0
354,4,1,3,0,5,681,12,149,120,221|0|0|0|0,41|0|0|0|0,336|0|0,5|0|0,20,0,20,22,0,20,0,0,0,0,0,0
356,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,1|0|0,107,11,0,52,2,0,0,0,0,0,0,0
357,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,2|0|0,107,12,0,52,3,0,0,0,0,0,0,0
358,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,3|0|0,107,13,0,52,4,0,0,0,0,0,0,0
359,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,4|0|0,107,14,0,52,5,0,0,0,0,0,0,0
360,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,5|0|0,107,15,0,52,6,0,0,0,0,0,0,0
361,6,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,6|0|0,107,16,0,52,7,0,0,0,0,0,0,0
362,7,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,7|0|0,107,17,0,52,8,0,0,0,0,0,0,0
363,8,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,8|0|0,107,18,0,52,9,0,0,0,0,0,0,0
364,9,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,9|0|0,107,19,0,52,10,0,0,0,0,0,0,0
366,1,1,3,0,5,229,8,35,130,222|0|0|0|0,41|0|0|0|0,356|0|0,1|0|0,24,3,0,0,0,0,0,0,0,0,0,0
367,2,1,3,0,5,250,8,37,130,222|0|0|0|0,41|0|0|0|0,356|0|0,2|0|0,24,7,0,0,0,0,0,0,0,0,0,0
368,3,1,3,0,5,271,8,39,130,222|0|0|0|0,41|0|0|0|0,356|0|0,3|0|0,24,11,0,0,0,0,0,0,0,0,0,0
369,4,1,3,0,5,292,8,41,130,222|0|0|0|0,41|0|0|0|0,356|0|0,4|0|0,24,15,0,0,0,0,0,0,0,0,0,0
370,5,1,3,0,5,313,8,43,130,222|0|0|0|0,41|0|0|0|0,356|0|0,5|0|0,24,19,0,0,0,0,0,0,0,0,0,0
371,6,1,3,0,5,333,8,45,130,222|0|0|0|0,41|0|0|0|0,356|0|0,6|0|0,24,23,0,0,0,0,0,0,0,0,0,0
372,7,1,3,0,5,354,8,47,130,222|0|0|0|0,41|0|0|0|0,356|0|0,7|0|0,24,27,0,0,0,0,0,0,0,0,0,0
373,8,1,3,0,5,375,8,49,130,222|0|0|0|0,41|0|0|0|0,356|0|0,8|0|0,24,31,0,0,0,0,0,0,0,0,0,0
374,9,1,3,0,5,396,8,51,130,222|0|0|0|0,41|0|0|0|0,356|0|0,9|0|0,24,35,0,0,0,0,0,0,0,0,0,0
376,1,1,8,0,5,0,20,23,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,18,25,0,0,0,0,0,0,0,0,1,800
377,2,1,8,0,5,0,20,29,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,18,50,0,0,0,0,0,0,0,0,1,800
378,3,1,8,0,5,0,20,35,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,18,75,0,0,0,0,0,0,0,0,1,800
379,4,1,8,0,5,0,20,41,100,0|0|0|0|0,41|0|0|0|0,236|0|0,5|0|0,18,100,0,0,0,0,0,0,0,0,1,800
381,1,1,17,0,5,525,10,58,125,222|0|0|0|0,41|0|0|0|0,366|0|0,5|0|0,24,0,10,23,0,10,0,0,0,0,1,800
382,2,1,17,0,5,551,10,61,150,222|0|0|0|0,41|0|0|0|0,366|0|0,5|0|0,24,0,15,23,0,15,0,0,0,0,1,800
383,3,1,17,0,5,577,10,64,175,222|0|0|0|0,41|0|0|0|0,366|0|0,5|0|0,24,0,20,23,0,20,0,0,0,0,1,800
384,4,1,17,0,5,603,10,67,200,222|0|0|0|0,41|0|0|0|0,366|0|0,5|0|0,24,0,25,23,0,25,0,0,0,0,1,800
386,1,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,1|0|0,108,11,0,100,2,0,0,0,0,0,0,0
387,2,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,2|0|0,108,12,0,100,3,0,0,0,0,0,0,0
388,3,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,3|0|0,108,13,0,100,4,0,0,0,0,0,0,0
389,4,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,4|0|0,108,14,0,100,5,0,0,0,0,0,0,0
390,5,1,15,0,0,0,0,0,0,0|0|0|0|0,41|0|0|0|0,316|0|0,5|0|0,108,15,0,100,6,0,0,0,0,0,0,0
