id,type,price,pricerate,weight,quality,pricevalue
78,427,8406,0,5,36,7
79,427,9251,0,5,39,7
80,427,10075,0,5,42,7
81,427,500,0,5,15,7
82,427,1400,0,5,18,7
83,427,1914,0,5,21,7
84,427,2404,0,5,24,7
85,427,2871,0,5,27,7
86,427,3326,0,5,30,7
87,427,3770,0,5,33,7
88,427,4203,0,5,36,7
89,427,4625,0,5,39,7
90,427,5038,0,5,42,7
91,429,265,5,1,35,8
92,429,305,5,1,35,8
93,429,345,5,1,35,8
94,429,395,5,1,35,8
95,429,450,5,1,35,8
96,429,505,5,1,35,8
97,429,570,5,1,35,8
98,429,265,5,2,35,8
99,429,305,5,1,35,8
100,429,345,5,1,35,8
101,429,395,5,3,35,8
102,429,450,5,2,37,8
103,429,10,0,1,39,8
104,429,570,5,1,42,8
105,429,635,5,1,44,8
106,429,705,5,1,46,8
107,429,785,5,1,48,8
108,429,865,5,1,50,8
109,429,153,2,1,25,8
110,429,192,2,1,28,8
111,429,265,2,2,30,8
112,429,345,2,2,34,8
113,429,450,2,2,38,8
114,429,570,2,2,42,8
115,429,705,2,2,46,8
116,429,265,2,2,38,8
117,429,345,2,2,34,8
118,429,450,2,2,38,8
119,429,570,2,2,42,8
120,429,705,2,2,46,8
121,429,265,5,5,18,8
122,429,345,5,5,18,8
123,429,450,5,5,18,8
124,429,570,5,5,18,8
125,429,705,5,5,18,8
126,429,265,5,3,30,8
127,429,345,5,3,34,8
128,429,450,5,3,38,8
129,429,570,5,3,42,8
130,429,705,5,3,46,8
131,430,190,5,1,20,0
132,430,845,5,2,40,0
133,430,2275,5,3,60,0
134,430,1445,5,5,50,0
135,430,1445,5,5,60,0
136,430,1445,5,5,70,0
137,430,1445,5,5,80,0
138,430,1445,5,5,90,0
139,430,1445,5,1,13,0
140,430,212,5,1,12,0
141,430,328,5,1,15,0
142,430,500,0,1,32,0
143,430,845,5,2,40,0
144,430,1060,5,2,44,0
145,430,190,5,1,20,0
146,430,175,5,1,25,0
147,430,505,5,1,40,0
148,430,15,5,1,5,0
149,430,265,5,2,30,0
150,430,168,5,1,20,0
151,429,3375,5,5,25,8
152,429,3375,5,5,25,8
153,429,3375,5,5,25,8
154,429,3375,5,5,25,8
155,429,3375,5,5,25,8
156,429,3375,5,5,25,8
157,429,3375,5,5,25,8
158,429,375,5,1,20,8
159,429,35,5,1,20,8
160,429,375,5,1,20,8
161,429,525,10,2,25,8
162,429,525,10,2,25,8
163,429,525,10,2,25,8
164,429,525,10,2,25,8
165,429,253,5,1,12,8
166,429,313,5,1,13,8
167,429,283,5,1,15,8
168,429,168,5,1,13,8
169,429,326,5,1,12,8
170,429,267,5,1,15,8
171,429,60,0,1,12,0
172,429,70,0,2,13,0
173,429,90,0,1,15,0
174,429,100,0,1,16,0
175,429,80,0,1,14,0
176,429,90,0,1,15,0
177,429,110,0,1,17,0
178,429,100,0,1,16,0
179,429,80,0,2,14,0
180,429,90,0,2,15,0
181,429,120,0,1,18,0
182,429,100,0,1,16,0
183,429,120,0,2,18,0
184,429,150,0,2,20,0
185,429,135,0,2,19,0
186,429,165,0,2,21,0
187,429,180,0,2,22,0
188,429,215,0,2,24,0
189,429,255,0,2,26,0
190,429,200,0,2,23,0
191,419,280,0,2,27,0
192,419,350,0,2,30,0
193,429,600,0,2,38,0
194,429,675,0,2,40,0
195,429,800,0,2,43,0
196,429,675,0,1,40,0
197,429,895,0,1,45,0
198,429,995,0,1,47,0
199,429,1045,0,1,48,0
200,429,1155,0,2,50,0
201,429,45,0,1,15,8
202,429,75,0,1,20,8
203,429,120,0,1,25,8
204,429,175,0,2,30,8
205,429,250,0,1,35,8
206,429,340,0,1,40,8
207,429,445,0,3,45,8
208,429,580,0,5,50,8
209,429,730,0,2,55,8
210,429,910,0,3,60,8
211,434,1750,0,1,30,0
212,435,2020,0,1,32,0
213,436,2315,0,1,34,0
214,430,2640,0,1,36,0
215,430,2995,0,1,38,0
216,430,3375,0,1,40,0
217,434,49250,0,1,30,0
218,435,120239,0,1,32,0
219,436,187874,0,1,34,0
220,437,187874,0,1,34,0
221,438,1750,0,1,30,0
222,430,2020,0,1,32,0
223,430,2315,0,1,34,0
224,430,2640,0,1,36,0
225,438,24975,0,1,30,0
226,430,2625,0,1,30,0
227,430,3030,0,1,32,0
228,430,3475,0,1,34,0
229,430,3960,0,1,36,0
230,430,4490,0,1,38,0
231,430,2625,0,1,30,0
232,430,3030,0,1,32,0
233,430,3475,0,1,34,0
234,430,3960,0,1,36,0
235,430,2625,0,1,30,0
236,430,3030,0,1,32,0
237,430,3475,0,1,34,0
238,430,3960,0,1,36,0
239,430,4490,0,1,38,0
240,430,5065,0,1,40,0
241,430,385,10,2,40,7
242,430,385,10,2,40,7
243,430,385,10,2,40,7
244,430,385,10,2,40,7
245,430,385,10,2,40,7
246,430,385,10,2,40,7
247,430,385,10,2,40,7
248,430,385,10,2,40,7
249,430,385,10,2,40,7
250,430,385,10,2,40,7
261,429,465,0,1,34,0
262,429,530,0,2,36,0
263,429,600,0,2,38,0
264,429,675,0,2,40,0
265,429,760,0,2,42,0
266,429,845,0,3,44,0
267,429,940,0,2,46,0
268,429,1045,0,1,48,0
269,429,1155,0,1,50,0
270,429,1270,0,2,52,0
271,429,845,0,2,37,0
272,429,900,0,2,38,0
277,429,800,5,1,35,0
278,429,900,5,1,38,0
279,429,915,5,1,37,0
280,429,975,5,1,38,0
281,429,915,5,2,37,0
282,429,1175,5,3,35,0
283,429,836,5,2,32,0
284,429,952,5,3,35,0
285,429,1029,5,2,36,0
291,429,2195,5,5,35,8
292,429,2195,5,5,35,8
293,429,2195,5,5,35,8
294,429,2195,5,5,35,8
295,429,5485,5,5,35,8
296,429,5485,5,5,35,8
297,429,5485,5,5,35,8
298,429,5485,5,5,35,8
299,429,6035,5,5,50,8
300,430,1,5,10,30,0
301,431,1,0,0,5,0
302,431,2,0,0,10,0
303,431,4,0,1,20,0
304,431,5,0,2,25,0
305,431,6,0,1,30,0
306,431,7,0,2,35,0
307,431,8,0,2,40,0
308,431,0,0,0,0,0
309,431,0,0,0,0,0
310,431,0,0,0,0,0
311,431,3,0,1,15,0
312,431,9,0,2,45,0
313,431,10,0,2,50,0
314,431,11,0,2,55,0
315,431,12,0,2,60,0
316,431,13,0,3,65,0
317,431,14,0,3,70,0
318,431,0,0,0,0,0
319,431,0,0,0,0,0
320,431,0,0,0,0,0
321,432,1,0,0,5,0
322,432,2,0,1,10,0
323,432,3,0,0,15,0
324,432,4,0,1,20,0
325,432,5,0,1,25,0
326,432,6,0,2,30,0
327,432,7,0,2,35,0
328,432,8,0,2,40,0
329,432,0,0,0,0,0
330,432,0,0,0,0,0
331,432,9,0,2,45,0
332,432,10,0,3,50,0
333,432,11,0,3,55,0
334,432,0,0,1,0,0
335,432,0,0,1,0,0
336,432,0,0,1,0,0
337,432,0,0,1,0,0
338,432,0,0,1,0,0
339,432,0,0,1,0,0
340,432,0,0,1,0,0
341,433,1,0,0,5,0
342,433,3,0,1,15,0
343,433,5,0,2,25,0
344,433,7,0,0,35,0
345,433,9,0,1,45,0
346,433,0,0,1,0,0
347,433,0,0,1,0,0
348,433,0,0,1,0,0
349,433,0,0,1,0,0
350,433,0,0,1,0,0
351,433,10,0,2,50,0
352,433,12,0,3,60,0
353,433,0,0,1,0,0
354,433,0,0,1,0,0
355,433,0,0,1,0,0
356,433,0,0,1,0,0
357,433,0,0,1,0,0
358,433,0,0,1,0,0
359,433,0,0,2,0,0
360,433,0,0,2,0,0
361,429,550,10,2,40,7
362,429,550,10,2,40,7
363,429,550,10,2,40,7
364,429,550,10,2,40,7
365,429,550,10,2,40,7
366,429,550,10,2,40,7
367,429,550,10,2,40,7
368,429,550,10,2,40,7
369,429,550,10,2,40,7
370,429,550,10,2,40,7
371,427,55,8,5,6,7
372,427,80,8,5,8,7
373,427,105,8,5,10,7
374,427,150,8,5,13,7
375,427,205,8,5,16,7
376,427,270,8,5,19,7
377,427,375,8,5,23,7
378,427,500,5,5,27,7
379,427,640,5,5,31,7
380,427,790,5,5,35,7
381,429,735,10,2,40,7
382,429,735,10,2,40,7
383,429,735,10,2,40,7
384,429,735,10,2,40,7
385,429,735,10,2,40,7
386,429,735,10,2,40,7
387,429,735,10,2,40,7
388,429,735,10,2,40,7
389,429,735,10,2,40,7
390,429,735,10,2,40,7
392,427,10000,5,5,50,7
393,427,10000,5,5,50,7
394,427,10000,5,5,50,7
398,420,200,10,1,40,7
399,420,72,0,1,40,7
400,420,72,0,1,40,7
401,430,0,0,0,10,0
402,430,0,0,0,10,0
403,430,1000,0,0,10,0
404,430,1667,0,0,10,0
405,430,200,0,0,10,0
407,430,250,0,0,10,0
408,430,250,0,0,10,0
409,430,250,0,0,10,0
410,430,250,0,0,10,0
411,430,250,0,0,10,0
412,430,250,0,0,10,0
413,430,250,0,1,10,0
414,430,250,0,0,10,0
415,430,250,0,0,10,0
416,430,250,0,0,10,0
417,430,100,0,0,10,0
440,442,2000,0,50,10,0
441,442,2000,0,50,10,0
445,427,790,5,1,80,7
446,427,790,5,1,80,7
447,427,790,5,1,80,7
448,427,790,5,1,80,7
449,427,790,5,1,80,7
450,427,790,5,1,80,7
451,442,300,0,0,10,0
452,442,500,0,0,10,0
453,442,500,0,0,10,0
460,431,2,0,0,10,0
461,431,3,0,0,20,0
462,431,4,0,0,25,0
463,431,5,0,0,30,0
464,431,6,0,0,35,0
465,431,7,0,0,40,0
468,431,2,0,0,15,0
469,431,4,0,0,45,0
470,431,6,0,0,50,0
471,431,8,0,0,55,0
472,431,10,0,0,60,0
473,431,12,0,0,65,0
474,431,14,0,0,70,0
476,432,3,0,0,10,0
477,432,4,0,0,15,0
478,432,5,0,0,20,0
479,432,7,0,0,25,0
480,432,9,0,0,30,0
481,432,11,0,0,35,0
482,432,15,0,0,40,0
484,432,12,0,0,45,0
485,432,13,0,0,50,0
486,432,14,0,0,55,0
489,433,5,0,0,15,0
490,433,8,0,0,25,0
491,433,11,0,0,35,0
492,433,15,0,0,45,0
494,433,12,0,0,50,0
495,433,13,0,0,60,0
501,427,790,5,1,35,7
502,427,750,5,1,80,7
