id,life,walkspeed,runspeed,drivespeed,weapon,subweapon,level,hp,attackpower,hitrate,defense,magicdefense,dodge,attackspeed,AI,exp,dropid,money,item,tab1,tab2,tab3,specialtab,attackdistance,aggresive,shp
44,0,0,0,120,1073,0,18,25,111,80,47,28,26,107,17,93,142,0,60,0,0,0,0,2500,4,0
45,0,0,0,200,1073,0,19,33,117,83,50,30,28,110,18,120,146,0,60,0,0,0,0,2600,8,0
46,0,0,0,0,0,0,40,41,297,102,143,59,51,95,0,179,0,0,0,0,0,0,0,1200,2,0
51,0,220,314,100,1074,0,44,28,343,119,126,83,68,100,22,189,230,0,60,0,0,0,0,1200,1,180
52,0,230,326,135,1074,0,45,31,367,132,87,85,81,105,21,207,232,0,60,0,0,0,0,1250,5,300
53,0,240,338,135,1075,0,48,32,390,138,93,91,85,105,21,220,234,0,60,0,0,0,0,1300,5,300
61,0,200,350,62,0,0,11,13,52,68,23,12,15,100,3,51,116,0,60,0,0,0,0,200,1,350
62,0,220,440,70,0,0,12,14,58,70,25,13,16,100,3,55,118,0,60,0,0,0,0,210,1,350
63,0,240,400,70,0,0,15,19,81,74,36,20,18,105,1,75,131,0,60,0,0,0,0,230,3,350
64,0,260,370,80,0,0,18,25,111,80,47,28,26,107,9,93,143,0,60,0,0,0,0,250,4,350
67,0,240,320,90,1061,0,31,72,260,107,113,85,69,110,29,177,188,0,60,0,0,0,0,800,9,460
68,0,240,350,130,1061,0,35,93,303,117,129,100,79,110,44,310,191,0,60,0,0,0,0,900,10,510
69,0,300,450,170,333,0,38,302,454,117,135,91,35,110,53,1152,193,0,100,0,0,0,0,1500,11,660
71,0,140,400,80,1011,0,12,14,58,70,25,13,16,100,3,55,119,0,60,0,0,0,0,200,1,0
72,0,140,420,88,1011,0,13,15,65,71,27,15,17,100,3,59,122,0,60,0,0,0,0,220,1,0
73,0,170,500,90,1012,0,17,21,99,77,42,24,20,105,1,84,138,0,60,0,0,0,0,230,3,0
74,0,160,420,102,1031,0,20,30,122,73,59,23,23,95,2,93,149,0,60,0,0,0,0,300,2,0
75,0,160,380,102,1032,0,19,22,118,80,49,28,23,105,1,93,147,0,60,0,0,0,0,320,3,0
76,0,230,550,245,1014,0,31,437,377,105,112,74,21,110,82,941,173,0,100,0,0,0,0,350,11,0
81,0,150,420,80,0,0,23,21,158,86,58,35,34,100,3,102,162,0,60,0,0,0,0,180,1,0
82,0,145,350,100,0,0,24,26,169,87,68,41,31,105,1,116,165,0,60,0,0,0,0,200,3,0
84,0,160,370,80,0,0,27,24,204,92,74,45,43,100,3,118,177,0,60,0,0,0,0,200,1,0
85,0,180,470,100,0,0,29,40,217,86,103,41,39,95,2,132,183,0,60,0,0,0,0,220,2,0
87,0,130,400,80,0,0,30,26,242,96,88,55,50,100,22,131,185,0,60,0,0,0,0,200,1,0
88,0,130,320,100,0,0,31,32,249,98,99,62,45,105,105,146,189,0,60,0,0,0,0,230,3,0
91,0,130,400,110,1011,0,24,22,169,87,62,37,37,100,106,106,166,0,60,0,0,0,0,230,1,0
92,0,180,520,125,1014,0,26,32,198,92,80,51,42,107,23,129,174,0,60,0,0,0,0,250,4,0
93,0,145,600,145,1007,302,28,30,216,93,86,53,39,105,1,133,180,0,60,0,0,0,0,260,3,0
94,0,140,330,125,1014,0,25,31,186,90,75,48,40,107,23,125,168,0,60,0,0,0,0,260,4,0
95,0,130,400,90,0,0,18,500,1,1,0,999,999,100,306,80,142,0,60,0,0,0,0,230,1,0
96,0,160,400,100,1056,0,26,30,227,107,49,51,59,97,27,129,175,0,60,0,0,0,0,2000,6,0
97,0,180,520,98,0,0,18,500,1,1,0,999,999,107,306,93,143,0,60,0,0,0,0,250,4,0
98,0,145,370,100,0,0,18,500,108,1,0,999,999,105,306,89,144,0,60,0,0,0,0,260,3,0
99,0,160,400,96,0,0,18,500,1,1,0,999,999,97,306,93,146,0,60,0,0,0,0,300,6,0
101,0,150,350,80,1003,0,16,16,89,75,35,20,21,100,22,72,135,0,60,0,0,0,0,250,1,0
102,0,190,480,110,1080,0,17,20,120,84,26,22,27,90,26,84,139,0,60,0,0,0,0,1500,5,0
103,0,170,500,120,1003,302,18,31,108,82,46,28,26,110,24,114,144,0,60,0,0,0,0,260,8,0
110,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
111,0,180,520,95,0,0,37,27,292,107,106,68,59,100,22,160,206,0,60,0,0,0,0,220,1,0
112,0,200,460,105,0,0,38,42,299,99,136,56,49,90,22,170,209,0,60,0,0,0,0,230,2,0
113,0,200,450,110,1016,0,39,38,321,113,128,87,64,105,107,187,212,0,60,0,0,0,0,250,4,0
114,0,200,500,150,1016,0,40,76,361,123,143,111,84,100,25,225,215,0,60,0,0,0,0,260,9,0
121,0,220,700,120,0,0,73,38,619,170,239,166,95,95,21,326,281,0,60,0,0,0,0,230,3,0
122,0,200,700,150,0,0,74,44,543,175,254,184,116,115,115,339,286,0,60,0,0,0,0,240,4,0
123,0,240,700,200,0,0,77,89,648,195,289,242,154,105,114,420,301,0,60,0,0,0,0,250,9,0
127,0,200,450,145,0,0,68,43,459,164,231,166,106,125,263,313,155,0,60,0,0,0,0,240,4,0
128,0,230,510,145,1044,0,70,40,589,196,145,172,152,105,264,322,175,0,60,0,0,0,0,2000,6,0
129,0,240,530,160,0,0,74,88,544,188,276,230,148,120,263,404,156,0,60,0,0,0,0,250,9,0
130,0,220,530,180,137,5,76,89,537,192,285,238,152,125,262,415,177,0,60,0,0,0,0,300,9,0
131,0,180,500,90,0,0,30,26,230,96,88,55,50,105,3,131,186,0,60,0,0,0,0,180,1,0
132,0,180,480,105,0,0,33,32,291,101,105,66,47,95,1,155,194,0,60,0,0,0,0,200,3,0
133,0,185,420,140,0,0,35,37,254,106,116,77,59,120,9,170,197,0,60,0,0,0,0,210,4,0
134,0,190,500,110,133,0,37,42,292,97,133,55,48,90,22,166,207,0,60,0,0,0,0,300,2,0
135,0,180,460,155,134,0,38,33,299,109,120,77,52,105,22,177,210,0,60,0,0,0,0,300,3,0
136,0,180,450,180,1021,0,40,48,288,118,129,89,66,120,24,223,216,0,60,0,0,0,0,300,8,0
137,0,180,500,2,0,0,30,26,242,96,88,55,50,100,0,131,0,0,0,0,0,0,0,300,1,0
138,0,220,480,140,1021,0,39,38,293,113,128,87,64,115,115,187,213,0,60,0,0,0,0,300,4,0
139,0,230,520,170,135,0,41,77,369,125,147,115,86,100,114,231,218,0,60,0,0,0,0,300,9,0
141,0,220,540,180,104,0,74,38,596,172,243,169,96,100,1,330,287,0,60,0,0,0,0,250,3,0
142,0,240,600,180,106,5,78,50,599,162,293,131,95,90,116,338,452,0,60,0,0,0,0,260,2,0
143,0,220,480,200,167,0,81,45,595,189,282,206,127,115,109,369,315,0,60,0,0,0,0,280,4,0
144,0,220,550,220,1045,0,76,36,611,192,154,159,132,105,11,339,297,0,60,0,0,0,0,2400,5,0
145,0,210,470,260,1044,0,80,43,831,218,169,203,174,85,12,365,313,0,60,0,0,0,0,2000,6,0
151,0,200,550,140,0,0,60,31,512,146,174,119,90,90,22,255,251,0,60,0,0,0,0,190,1,0
152,0,220,460,165,1013,0,61,36,492,148,195,133,80,100,21,275,255,0,60,0,0,0,0,250,3,0
153,0,230,560,230,0,0,69,43,614,166,234,169,108,95,113,318,270,0,60,0,0,0,0,220,4,0
154,0,220,560,165,1002,0,62,37,500,150,199,136,81,100,21,279,256,0,60,0,0,0,0,240,3,0
155,0,200,500,190,1004,303,65,43,458,158,219,157,102,120,113,300,263,0,60,0,0,0,0,250,4,0
156,0,230,510,250,1045,0,70,41,727,196,145,172,152,85,27,322,453,0,60,0,0,0,0,2000,6,0
157,0,250,580,180,1044,0,64,34,492,168,126,128,111,110,26,288,262,0,60,0,0,0,0,2000,5,0
158,0,220,530,200,137,5,67,86,591,174,246,204,134,100,114,368,267,0,60,0,0,0,0,300,9,0
159,0,260,570,300,0,0,72,55,676,176,242,178,113,90,112,373,277,0,60,0,0,0,0,260,8,0
161,0,250,550,150,0,0,82,33,700,187,249,174,123,90,63,346,319,0,60,0,0,0,0,220,1,0
162,0,290,630,200,0,0,85,40,762,193,286,201,111,90,371,377,333,0,60,0,0,0,0,230,3,0
163,0,320,690,200,1116,0,86,46,855,199,303,222,135,85,372,390,339,0,60,0,0,0,0,250,4,0
164,0,200,450,170,0,0,87,52,669,178,334,150,106,90,62,376,344,0,60,0,0,0,0,190,2,0
165,0,220,490,180,0,0,89,41,685,201,302,213,117,105,374,394,355,0,60,0,0,0,0,220,3,0
166,0,220,490,220,1128,0,93,95,823,229,361,307,187,100,376,504,380,0,60,0,0,0,0,250,9,0
169,0,350,750,250,39,0,91,94,805,224,352,299,183,100,64,493,368,0,60,0,0,0,0,250,9,0
171,0,180,480,100,1035,0,33,41,263,91,119,48,44,90,319,149,195,0,60,0,0,0,0,350,2,0
172,0,220,430,125,164,0,34,37,270,105,113,75,58,110,320,165,196,0,60,0,0,0,0,360,4,0
173,0,210,460,145,165,0,38,75,362,119,136,105,80,95,323,215,211,0,60,0,0,0,0,380,9,0
175,0,240,530,112,1042,0,35,30,321,114,68,64,66,95,321,164,198,0,60,0,0,0,0,2200,5,0
176,0,210,470,125,1043,0,36,35,399,126,72,80,84,82,322,174,202,0,60,0,0,0,0,2000,6,0
177,0,210,470,135,1043,0,36,35,297,126,72,80,84,110,264,174,190,0,60,0,0,0,0,2000,6,0
178,0,210,460,155,165,0,40,76,301,123,143,111,84,120,262,225,188,0,60,0,0,0,0,380,9,0
179,0,200,450,120,0,0,42,43,281,105,150,63,53,105,267,187,152,0,60,0,0,0,0,250,2,0
180,0,200,500,140,1016,0,45,78,336,132,161,127,93,120,262,252,153,0,60,0,0,0,0,260,9,0
181,0,180,580,75,0,0,51,29,343,131,146,98,78,115,22,218,238,0,60,0,0,0,0,160,1,0
182,0,165,530,110,0,0,52,45,381,120,187,80,64,95,22,230,240,0,60,0,0,0,0,160,2,0
183,0,170,450,110,1015,0,54,35,437,136,171,115,71,100,21,245,243,0,60,0,0,0,0,230,3,0
185,0,175,550,95,1040,0,56,33,466,153,109,109,98,102,26,254,245,0,60,0,0,0,0,2500,5,0
186,0,170,450,130,1042,0,59,39,614,172,120,140,129,85,27,274,249,0,60,0,0,0,0,2100,6,0
187,0,180,450,135,1021,0,53,40,333,137,175,123,84,135,262,248,162,0,60,0,0,0,0,300,4,0
188,0,240,338,140,1075,0,56,51,396,146,183,131,88,120,264,299,123,0,60,0,0,0,0,1600,8,0
189,0,170,450,125,1042,0,59,39,522,172,120,140,129,100,264,274,195,0,60,0,0,0,0,2100,6,0
190,0,230,520,165,135,0,62,84,457,164,226,185,124,120,262,341,164,0,60,0,0,0,0,300,9,0
192,0,220,490,185,0,0,82,40,601,187,274,192,107,110,268,364,183,0,60,0,0,0,0,220,3,0
193,0,290,630,260,0,0,84,115,774,214,326,279,176,100,266,718,180,0,60,0,0,0,0,230,10,0
194,0,220,490,220,0,0,87,116,697,220,340,292,182,115,268,743,184,0,60,0,0,0,0,250,10,0
196,0,225,640,160,40,3,93,53,613,189,361,164,114,105,262,401,232,0,60,0,0,0,0,250,2,0
197,0,200,510,140,337,0,95,33,732,213,193,316,117,110,265,429,237,0,60,0,0,0,0,1400,7,0
198,0,240,650,190,169,0,97,60,632,227,344,260,153,130,262,486,239,0,60,0,0,0,0,350,8,0
201,0,300,450,430,1084,0,95,122,1033,238,378,326,200,85,51,809,387,0,60,0,0,0,0,900,10,0
202,0,230,400,180,1084,0,90,47,801,207,320,236,142,95,52,407,360,0,60,0,0,0,0,1200,4,0
203,0,200,360,230,1011,0,13,279,121,77,34,20,8,90,54,397,123,0,60,0,0,0,0,230,11,0
204,0,160,540,80,0,0,20,19,143,81,47,28,29,90,106,89,150,0,60,0,0,0,0,250,1,0
205,0,230,550,170,1003,302,25,271,354,96,81,52,23,85,55,760,151,0,100,0,0,0,0,250,11,0
206,0,200,550,180,0,0,43,48,410,123,139,97,70,90,8,238,224,0,60,0,0,0,0,200,8,0
207,0,290,630,240,167,0,44,428,544,128,156,107,28,105,46,1333,221,0,100,0,0,0,0,350,11,0
208,0,240,360,340,1075,0,57,620,813,151,205,145,25,90,57,1725,241,0,100,0,0,0,0,1500,11,690
209,0,300,650,300,138,0,46,537,627,131,164,113,24,95,59,1394,225,0,100,0,0,0,0,350,11,0
210,0,300,500,50,0,0,35,36,235,106,116,77,59,130,58,170,199,0,60,0,0,0,0,130,4,0
211,0,340,730,360,0,0,77,688,1094,189,287,210,32,90,60,2328,288,0,100,0,0,0,0,250,11,0
212,0,330,710,300,0,0,82,580,1104,199,309,227,41,95,46,2478,309,0,100,0,0,0,0,250,11,0
213,0,300,630,310,167,0,48,556,590,135,171,119,24,105,318,1454,226,0,100,0,0,0,0,350,11,0
215,0,290,630,270,167,0,55,103,407,154,202,166,116,125,256,477,271,0,60,0,0,0,0,350,10,0
216,0,300,650,320,138,0,70,110,538,184,264,222,146,120,257,602,272,0,60,0,0,0,0,350,10,0
217,0,330,710,330,0,0,85,116,603,216,331,283,178,130,258,726,273,0,60,0,0,0,0,250,10,0
218,0,320,690,360,0,0,95,121,798,238,378,326,200,110,259,809,274,0,60,0,0,0,0,250,10,0
219,0,310,730,330,173,0,105,124,885,261,427,372,223,110,260,891,275,0,60,0,0,0,0,250,10,0
222,0,300,650,300,138,0,60,551,809,156,217,154,30,95,59,1815,252,0,100,0,0,0,0,350,11,0
223,0,330,710,300,0,0,75,570,1009,185,279,203,37,95,61,2267,291,0,100,0,0,0,0,250,11,0
224,0,350,750,350,0,0,90,690,1154,215,346,255,39,100,65,2719,361,0,100,0,0,0,0,250,11,400
226,0,0,0,80,1072,0,7,0,0,0,0,0,0,90,15,0,116,0,60,0,0,0,0,1750,0,0
227,0,0,0,80,1072,0,7,0,0,0,0,0,0,90,15,0,116,0,60,0,0,0,0,1750,0,0
228,0,0,0,100,1072,0,8,0,0,0,0,0,0,85,15,0,117,0,60,0,0,0,0,1750,0,0
229,0,0,0,100,1073,0,16,0,0,0,0,0,0,85,15,0,118,0,60,0,0,0,0,2400,0,0
230,0,240,320,100,1130,0,23,73,173,96,73,54,48,110,314,0,0,0,0,0,0,0,0,200,10,0
231,0,166,382,140,9,0,35,74,336,114,126,96,75,95,484,0,0,0,60,0,0,0,0,250,9,0
251,0,150,350,90,1076,0,48,27,409,126,89,137,60,100,18,227,0,0,60,0,0,0,0,800,7,0
252,0,160,370,105,1079,0,75,31,633,174,146,234,91,100,98,343,0,0,60,0,0,0,0,800,7,0
254,0,200,450,160,0,0,74,49,568,156,276,123,90,90,121,322,0,0,60,0,0,0,0,190,2,0
256,0,450,515,80,1076,0,63,31,509,152,184,126,94,95,326,268,258,0,60,0,0,0,0,180,1,360
257,0,480,548,95,1076,0,83,37,701,207,170,177,144,100,326,368,324,0,60,0,0,0,0,200,5,390
258,0,500,570,115,1079,0,91,41,639,205,310,219,119,115,326,402,369,0,60,0,0,0,0,200,3,450
261,0,150,350,100,0,0,45,43,350,109,161,68,56,90,1,200,224,0,60,0,0,0,0,800,2,0
262,0,160,370,120,0,0,50,44,387,117,179,77,62,90,1,221,0,0,60,0,0,0,0,900,2,0
271,0,210,530,120,1015,0,84,34,614,191,256,180,126,105,327,354,329,0,60,0,0,0,0,250,1,0
272,0,220,480,120,1015,0,85,51,653,175,325,146,104,90,327,368,334,0,60,0,0,0,0,250,2,0
273,0,230,570,120,1016,0,86,40,631,195,290,204,112,110,329,381,340,0,60,0,0,0,0,250,3,0
274,0,200,500,120,1080,0,87,34,704,197,267,188,130,95,327,367,345,0,60,0,0,0,0,800,1,0
275,0,225,510,120,1080,0,88,37,744,218,183,191,154,100,329,390,348,0,60,0,0,0,0,900,5,0
276,0,230,620,120,38,2,89,52,648,182,343,155,109,95,116,384,356,0,60,0,0,0,0,250,2,0
277,0,225,640,120,40,3,90,52,656,183,347,157,110,95,116,388,362,0,60,0,0,0,0,250,2,0
278,0,225,520,130,169,0,91,47,700,209,324,239,143,110,109,412,370,0,60,0,0,0,0,350,4,0
279,0,230,550,130,170,0,94,47,692,215,337,249,148,115,109,424,384,0,60,0,0,0,0,350,4,0
280,0,230,620,140,39,3,96,53,555,194,376,171,118,120,116,413,394,0,60,0,0,0,0,250,2,0
281,0,200,510,140,337,0,97,33,865,217,198,324,119,95,118,437,396,0,60,0,0,0,0,1000,7,0
282,0,220,550,150,338,0,98,33,831,219,200,329,120,100,118,441,399,0,60,0,0,0,0,350,7,0
283,0,225,530,160,338,61,99,34,840,221,203,333,122,100,119,446,402,0,60,0,0,0,0,1000,7,0
284,0,240,650,150,170,0,100,60,738,233,357,270,158,115,117,500,403,0,60,0,0,0,0,350,8,0
286,0,310,730,250,173,0,104,123,918,259,422,367,220,105,69,883,406,0,60,0,0,0,0,250,10,0
287,0,340,790,300,174,0,110,621,1235,258,442,331,56,115,50,3321,415,0,100,0,0,0,0,250,11,0
293,0,250,490,40,1079,0,1,1000,1,1,1,1,1,105,165,6,0,1,90,0,0,0,0,250,1,0
294,0,230,500,90,1096,0,10,25,10,10,100,50,60,120,165,0,0,0,60,0,0,0,0,1600,0,0
295,0,300,310,240,0,0,90,184,18,65,50,50,60,105,287,0,0,0,60,0,0,0,0,250,0,0
296,0,160,290,110,0,0,1,50,18,50,45,50,60,105,286,0,0,0,60,0,0,0,0,250,0,0
297,0,290,490,40,1097,0,1,23,8,55,6,3,5,105,97,6,0,1,90,0,0,0,0,250,1,0
298,0,290,470,50,0,0,1,5,18,65,31,16,10,105,89,0,0,0,60,0,0,0,0,250,0,0
299,0,220,490,45,0,0,1,10,18,65,31,16,10,105,108,6,0,0,60,0,0,0,0,250,1,0
300,0,200,450,55,0,0,1,10,18,65,31,16,10,105,108,6,0,0,60,0,0,0,0,250,1,0
301,0,280,400,30,0,0,9,12,40,65,19,10,12,100,92,42,110,0,60,0,0,0,0,250,1,350
302,0,280,400,40,0,0,13,14,65,71,27,15,17,100,3,59,8,0,60,0,0,0,0,250,1,350
303,0,280,450,120,0,0,1,10,124,92,103,91,31,100,480,0,0,0,60,0,0,0,0,250,15,0
304,0,280,470,130,0,0,120,14,241,148,195,154,54,100,480,0,0,0,60,0,0,0,0,250,15,0
305,0,280,470,80,0,0,90,21,349,200,288,214,75,130,89,0,0,0,60,0,0,0,0,250,15,0
306,0,170,390,110,1003,302,35,46,321,109,114,77,59,95,285,199,149,0,60,0,0,0,0,250,8,0
307,0,170,390,140,1003,302,75,55,666,182,253,187,117,95,285,387,149,0,60,0,0,0,0,250,8,0
308,0,170,390,170,1003,302,105,61,940,244,379,288,167,95,285,522,149,0,60,0,0,0,0,250,8,0
309,0,200,400,120,1074,0,40,11,179,112,115,74,63,100,286,69,0,0,60,0,0,0,0,1200,15,290
310,0,200,450,130,1074,0,60,14,269,146,174,119,90,100,286,102,0,0,60,0,0,0,0,1200,15,300
311,0,200,500,140,1074,0,80,21,364,183,242,169,120,100,286,133,0,0,60,0,0,0,0,1250,15,310
312,0,200,550,150,1074,0,100,28,464,223,427,225,151,100,286,165,0,0,60,0,0,0,0,1250,15,330
313,0,200,600,160,1074,0,120,29,568,265,537,286,185,100,286,196,0,0,60,0,0,0,0,1300,15,350
315,0,100,250,100,0,0,1,47,20,70,500,500,500,10,91,6,8,0,60,0,0,0,0,100,1,200
316,0,130,280,80,0,0,1,47,20,70,500,500,500,15,91,6,8,0,60,0,0,0,0,100,1,200
317,0,140,300,95,0,0,1,47,20,70,500,500,500,15,91,6,8,0,60,0,0,0,0,100,1,200
318,0,150,310,100,0,0,1,47,20,70,500,500,500,15,91,6,8,0,60,0,0,0,0,100,1,200
319,0,80,280,115,0,0,1,47,20,70,500,500,500,15,94,6,8,0,60,0,0,0,0,100,1,90
320,0,100,300,130,0,0,1,47,20,70,500,500,500,15,94,6,8,0,60,0,0,0,0,100,1,90
321,0,120,330,150,0,0,1,47,20,70,500,500,500,15,94,6,8,0,60,0,0,0,0,100,1,90
322,0,200,450,20,0,0,1,5,18,65,31,16,10,105,89,6,0,0,60,0,0,0,0,250,1,0
325,0,0,0,170,0,0,79,46,322,217,236,385,87,100,96,0,0,0,60,0,0,0,0,10,0,0
326,0,0,0,230,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
327,0,0,0,245,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
328,0,0,0,260,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
329,0,0,0,270,0,0,80,547,360,247,222,234,72,100,95,0,0,0,60,0,0,0,0,10,0,0
331,0,220,506,85,0,0,72,32,502,168,214,148,108,110,139,305,278,0,60,0,0,0,0,300,1,270
332,0,250,560,130,0,0,74,32,494,172,221,153,111,115,139,313,289,0,60,0,0,0,0,400,1,350
335,0,250,1050,250,0,0,84,92,371,209,320,270,168,200,333,457,330,0,60,0,0,0,0,200,9,0
336,0,215,650,110,0,0,77,39,539,178,254,177,100,115,121,343,302,0,60,0,0,0,0,200,3,0
337,0,230,700,150,0,0,79,39,554,181,262,183,103,115,122,352,310,0,60,0,0,0,0,200,3,0
338,0,240,750,180,0,0,82,45,554,191,286,209,128,125,123,373,320,0,60,0,0,0,0,200,4,0
339,0,230,750,155,0,0,80,39,561,183,266,186,104,115,122,356,314,0,60,0,0,0,0,200,3,0
340,0,240,750,185,0,0,83,46,561,193,290,213,130,125,123,378,325,0,60,0,0,0,0,250,4,0
341,0,220,650,150,1008,0,92,41,782,207,314,222,121,95,124,406,376,0,60,0,0,0,0,250,3,0
342,0,210,700,160,1017,0,93,44,914,249,202,246,203,90,125,420,381,0,60,0,0,0,0,1800,6,0
343,0,225,750,165,1008,304,94,53,723,191,366,166,115,90,126,405,385,0,60,0,0,0,0,250,2,0
344,0,235,750,170,1009,0,97,60,685,227,344,260,153,120,127,486,397,0,60,0,0,0,0,250,8,0
346,0,200,700,140,1064,0,96,33,857,215,195,320,118,95,128,433,388,0,60,0,0,0,0,1200,7,0
347,0,210,700,150,1064,0,97,33,865,217,198,324,119,95,129,437,398,0,60,0,0,0,0,1500,7,0
348,0,215,700,150,1091,1265,101,97,815,246,399,342,204,110,129,545,407,0,60,0,0,0,0,1600,9,0
349,0,210,700,150,1064,0,98,33,831,219,200,329,120,100,138,441,400,0,60,0,0,0,0,1500,7,0
350,0,215,700,300,1091,0,109,619,1042,256,437,327,55,135,334,3291,419,0,100,0,0,0,0,200,11,500
351,0,280,800,190,1036,0,102,36,750,227,323,231,155,105,131,428,408,0,60,0,0,0,0,250,1,360
352,0,275,800,190,1092,0,109,35,928,241,228,378,135,100,130,488,421,0,60,0,0,0,0,1500,7,350
353,0,290,850,190,1036,0,111,100,824,269,449,387,227,120,132,597,423,0,60,0,0,0,0,250,9,400
356,0,300,950,250,1093,0,117,526,1515,274,477,359,72,100,134,3532,429,0,100,0,0,0,0,1700,11,850
357,0,230,800,220,1024,0,113,101,960,274,459,396,231,105,133,608,426,0,60,0,0,0,0,300,9,0
358,0,230,800,220,1024,0,113,101,960,274,459,396,231,105,133,608,427,0,60,0,0,0,0,300,9,0
361,0,250,750,200,1094,0,125,59,976,249,521,241,158,90,335,534,446,0,60,0,0,0,0,1500,2,750
362,0,250,1050,250,1094,0,126,37,1139,278,274,458,159,95,335,560,448,0,60,0,0,0,0,1500,7,830
365,0,240,750,110,0,0,83,33,607,189,252,177,124,105,143,350,326,0,60,0,0,0,0,250,1,0
366,0,280,850,150,0,0,86,57,606,204,298,222,135,120,144,437,341,0,60,0,0,0,0,250,8,0
367,0,280,900,250,0,0,89,59,558,210,310,232,140,135,147,450,357,0,60,0,0,0,0,200,8,0
368,0,245,780,170,0,0,116,44,728,256,417,301,155,130,143,507,432,0,60,0,0,0,0,250,3,0
369,0,290,800,200,0,0,121,64,797,280,452,347,195,130,144,594,439,0,60,0,0,0,0,250,8,0
370,0,190,700,130,1084,0,95,38,847,233,200,211,167,95,128,419,389,0,60,0,0,0,0,800,5,0
371,0,190,700,170,1084,0,102,97,954,249,404,346,207,95,129,550,409,0,60,0,0,0,0,800,9,0
373,0,260,750,130,0,0,90,46,761,207,320,236,142,100,122,407,363,0,60,0,0,0,0,230,4,0
374,0,280,850,200,0,0,91,395,1228,218,350,259,69,95,123,2749,371,0,100,0,0,0,0,230,11,0
375,0,260,850,160,0,0,81,33,592,185,245,172,121,105,139,342,316,0,60,0,0,0,0,230,1,400
376,0,310,1050,200,0,0,84,40,589,191,282,198,110,115,136,373,331,0,60,0,0,0,0,230,3,530
377,0,310,1050,250,0,0,85,40,686,193,286,201,111,100,136,377,335,0,60,0,0,0,0,230,3,0
378,0,310,1050,250,0,0,86,46,727,199,303,222,135,100,136,390,342,0,60,0,0,0,0,250,4,600
379,0,310,1050,300,0,0,87,117,764,220,340,292,182,105,136,743,349,0,60,0,0,0,0,250,10,600
